category_url,category_name,category_url2,category_name2,category_url3,category_name3,category_url4,category_name4,product_url,product_name,product_SKU,final_price,original_price,images_links,images_names,youtube_link
https://www.gruberfarm.com/444361-%D7%9E%D7%9C%D7%95%D7%A0%D7%94-%D7%95%D7%9B%D7%9C%D7%95%D7%91-%D7%98%D7%99%D7%A1%D7%94-%D7%9C%D7%9B%D7%9C%D7%91,מלונה וכלוב טיסה לכלב,https://www.gruberfarm.com/444361-%D7%9E%D7%9C%D7%95%D7%A0%D7%94-%D7%95%D7%9B%D7%9C%D7%95%D7%91-%D7%98%D7%99%D7%A1%D7%94-%D7%9C%D7%9B%D7%9C%D7%91/434353-Imac,אימאק,,,,,https://www.gruberfarm.com/items/6888742-%D7%9E%D7%9C%D7%95%D7%A0%D7%94-%D7%9C%D7%9B%D7%9C%D7%91-%D7%96%D7%90%D7%95%D7%A1-50-IMAC-%D7%90%D7%99%D7%9E%D7%90%D7%A7,מלונה לכלב זאוס 50- IMAC,47331,254.15,299,https://d3m9l0v76dty0.cloudfront.net/system/photos/14455162/extra_large/471c133a78c5296209b24ae9f504adbf.jpg,471c133a78c5296209b24ae9f504adbf.jpg,
https://www.gruberfarm.com/444377-%D7%9E%D7%92%D7%A8%D7%93%D7%AA-%D7%9C%D7%97%D7%AA%D7%95%D7%9C,מגרדת לחתול,https://www.gruberfarm.com/444377-%D7%9E%D7%92%D7%A8%D7%93%D7%AA-%D7%9C%D7%97%D7%AA%D7%95%D7%9C/434353-Imac,אימאק,,,,,https://www.gruberfarm.com/items/6770561-%D7%9E%D7%92%D7%A8%D7%93%D7%AA-%D7%9C%D7%97%D7%AA%D7%95%D7%9C-%D7%91%D7%A7%D7%95%D7%A4%D7%A1%D7%94-%D7%A0%D7%98%D7%95%D7%99%D7%94-48-%D7%A1%D7%9E-IMAC-%D7%90%D7%99%D7%9E%D7%90%D7%A7,מגרדת לחתול בקופסה נטויה 48 סמ - IMAC,34534,128.25,135,https://d3m9l0v76dty0.cloudfront.net/system/photos/14230969/extra_large/67229d159ac72dd7264a39ae50261d2d.jpg,67229d159ac72dd7264a39ae50261d2d.jpg,
https://www.gruberfarm.com/444377-%D7%9E%D7%92%D7%A8%D7%93%D7%AA-%D7%9C%D7%97%D7%AA%D7%95%D7%9C,מגרדת לחתול,https://www.gruberfarm.com/444377-%D7%9E%D7%92%D7%A8%D7%93%D7%AA-%D7%9C%D7%97%D7%AA%D7%95%D7%9C/434353-Imac,אימאק,,,,,https://www.gruberfarm.com/items/6770562-%D7%9E%D7%92%D7%A8%D7%93%D7%AA-%D7%9C%D7%97%D7%AA%D7%95%D7%9C-%D7%98%D7%A0%D7%92%D7%95-30X30X46-IMAC-%D7%90%D7%99%D7%9E%D7%90%D7%A7,מגרדת לחתול טנגו 30X30X46 - IMAC,37820,255.55,269,https://d3m9l0v76dty0.cloudfront.net/system/photos/14230971/extra_large/00b41002a28da79ea3f162d297ab4bd0.jpg,00b41002a28da79ea3f162d297ab4bd0.jpg,
https://www.gruberfarm.com/444377-%D7%9E%D7%92%D7%A8%D7%93%D7%AA-%D7%9C%D7%97%D7%AA%D7%95%D7%9C,מגרדת לחתול,https://www.gruberfarm.com/444377-%D7%9E%D7%92%D7%A8%D7%93%D7%AA-%D7%9C%D7%97%D7%AA%D7%95%D7%9C/434353-Imac,אימאק,,,,,https://www.gruberfarm.com/items/6770563-%D7%98%D7%99%D7%A0%D7%95-%D7%9E%D7%92%D7%A8%D7%93%D7%AA-%D7%9C%D7%97%D7%AA%D7%95%D7%9C-%D7%9E%D7%97%D7%A6%D7%9C%D7%AA-%D7%A2%D7%9D-%D7%9B%D7%93%D7%95%D7%A8-48X32-%D7%A1%D7%9E-IMAC-%D7%90%D7%99%D7%9E%D7%90%D7%A7,טינו מגרדת לחתול מחצלת עם כדור 48X32 סמ - IMAC,34528,121.60,128,https://d3m9l0v76dty0.cloudfront.net/system/photos/14230972/extra_large/cfd19d37c3eb4e02ce882c59fd43dd6f.jpg,cfd19d37c3eb4e02ce882c59fd43dd6f.jpg,
https://www.gruberfarm.com/444377-%D7%9E%D7%92%D7%A8%D7%93%D7%AA-%D7%9C%D7%97%D7%AA%D7%95%D7%9C,מגרדת לחתול,https://www.gruberfarm.com/444377-%D7%9E%D7%92%D7%A8%D7%93%D7%AA-%D7%9C%D7%97%D7%AA%D7%95%D7%9C/434353-Imac,אימאק,,,,,https://www.gruberfarm.com/items/6770565-%D7%9E%D7%92%D7%A8%D7%93%D7%AA-%D7%A7%D7%A8%D7%98%D7%95%D7%9F-%D7%9C%D7%97%D7%AA%D7%95%D7%9C-50-%D7%A1%D7%9E-IMAC-%D7%90%D7%99%D7%9E%D7%90%D7%A7,מגרדת קרטון לחתול 50 סמ - IMAC,34533,49.40,52,https://d3m9l0v76dty0.cloudfront.net/system/photos/14230974/extra_large/36b1c776b67836a396b0c39e8cffcec0.jpg,36b1c776b67836a396b0c39e8cffcec0.jpg,
https://www.gruberfarm.com/444345-%D7%A9%D7%A8%D7%95%D7%AA%D7%99%D7%9D-%D7%95%D7%94%D7%92%D7%99%D7%99%D7%A0%D7%94-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D,שרותים והגיינה לחתולים,https://www.gruberfarm.com/444345-%D7%A9%D7%A8%D7%95%D7%AA%D7%99%D7%9D-%D7%95%D7%94%D7%92%D7%99%D7%99%D7%A0%D7%94-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D/434353-Imac,אימאק,,,,,https://www.gruberfarm.com/items/8589516-%D7%A4%D7%A8%D7%99%D7%93%D7%94-%D7%97%D7%9C%D7%A7%D7%99-%D7%97%D7%99%D7%9C%D7%95%D7%A3-IMAC-%D7%90%D7%99%D7%9E%D7%90%D7%A7,פרידה - חלקי חילוף IMAC,49083,14.25,15,,,
https://www.gruberfarm.com/444378-%D7%9E%D7%A9%D7%97%D7%A7%D7%99%D7%9D-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D,משחקים לחתולים,https://www.gruberfarm.com/444378-%D7%9E%D7%A9%D7%97%D7%A7%D7%99%D7%9D-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D/434353-Imac,אימאק,,,,,https://www.gruberfarm.com/items/8589601-%D7%9B%D7%93%D7%95%D7%A8-%D7%9C%D7%91%D7%93-%D7%AA%D7%97%D7%95%D7%A9%D7%AA%D7%99-%D7%A6%D7%91%D7%A2%D7%95%D7%A0%D7%99-%D7%9C%D7%97%D7%AA%D7%95%D7%9C-4-5-%D7%A1-%D7%9E-%D7%A7%D7%98%D7%9F-IMAC-%D7%90%D7%99%D7%9E%D7%90%D7%A7,"כדור לבד תחושתי צבעוני לחתול 4.5 ס""מ קטן - IMAC",49122,308.75,325,,,
https://www.gruberfarm.com/444378-%D7%9E%D7%A9%D7%97%D7%A7%D7%99%D7%9D-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D,משחקים לחתולים,https://www.gruberfarm.com/444378-%D7%9E%D7%A9%D7%97%D7%A7%D7%99%D7%9D-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D/434353-Imac,אימאק,,,,,https://www.gruberfarm.com/items/8589600-%D7%A6%D7%A2%D7%A6%D7%95%D7%A2-%D7%9C%D7%97%D7%AA%D7%95%D7%9C-%D7%9E%D7%A7%D7%9C-%D7%95%D7%91%D7%95%D7%91%D7%94-%D7%9E%D7%97%D7%95%D7%9E%D7%A8%D7%99%D7%9D-%D7%9E%D7%9E%D7%95%D7%97%D7%96%D7%A8%D7%99%D7%9D-40-%D7%A1-%D7%9E-IMAC-%D7%90%D7%99%D7%9E%D7%90%D7%A7,"צעצוע לחתול מקל ובובה מחומרים ממוחזרים 40 ס""מ - IMAC",49121,522.50,550,,,
https://www.gruberfarm.com/444378-%D7%9E%D7%A9%D7%97%D7%A7%D7%99%D7%9D-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D,משחקים לחתולים,https://www.gruberfarm.com/444378-%D7%9E%D7%A9%D7%97%D7%A7%D7%99%D7%9D-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D/434353-Imac,אימאק,,,,,https://www.gruberfarm.com/items/8589599-%D7%9B%D7%93%D7%95%D7%A8-%D7%9E%D7%94%D7%91%D7%94%D7%91-%D7%9C%D7%97%D7%AA%D7%95%D7%9C-IMAC-%D7%90%D7%99%D7%9E%D7%90%D7%A7,כדור מהבהב לחתול- IMAC,34518,22.80,24,,,
https://www.gruberfarm.com/444378-%D7%9E%D7%A9%D7%97%D7%A7%D7%99%D7%9D-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D,משחקים לחתולים,https://www.gruberfarm.com/444378-%D7%9E%D7%A9%D7%97%D7%A7%D7%99%D7%9D-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D/434353-Imac,אימאק,,,,,https://www.gruberfarm.com/items/8589598-%D7%A6%D7%A2%D7%A6%D7%95%D7%A2-%D7%92%D7%A9%D7%A8-%D7%90%D7%99%D7%A0%D7%98%D7%A8%D7%90%D7%A7%D7%98%D7%99%D7%91%D7%99-%D7%9E%D7%95%D7%9C%D7%98%D7%99-%D7%A4%D7%95%D7%A0%D7%A7%D7%A6%D7%99%D7%95%D7%A0%D7%90%D7%9C%D7%99-%D7%9C%D7%97%D7%AA%D7%95%D7%9C%D7%99%D7%9D-IMAC-%D7%90%D7%99%D7%9E%D7%90%D7%A7,צעצוע גשר אינטראקטיבי מולטי-פונקציונאלי לחתולים - IMAC,49120,180.50,190,,,
