product_url,product_name,product_img
https://www.phonedepot.co.il/product-page/%D7%9B%D7%91%D7%9C-%D7%98%D7%99%D7%99%D7%A4-%D7%A1%D7%99-%D7%9C%D7%9C%D7%99%D7%99%D7%98%D7%A0%D7%99%D7%A0%D7%92-1-%D7%9E%D7%98%D7%A8,כבל טייפ-סי ללייטנינג 1 מטר,https://static.wixstatic.com/media/bbb777_f34f608859de424f898060bfb42659e8~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9B%D7%91%D7%9C-%D7%98%D7%99%D7%99%D7%A4-%D7%A1%D7%99-%D7%9C%D7%9C%D7%99%D7%99%D7%98%D7%A0%D7%99%D7%A0%D7%92-2-%D7%9E%D7%98%D7%A8,כבל טייפ-סי ללייטנינג 2 מטר,https://static.wixstatic.com/media/bbb777_92f5eae2ca31432c97ee04369fa902e9~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%A2%D7%A8%D7%9B%D7%AA-%D7%9E%D7%98%D7%A2%D7%9F-%D7%A8%D7%9B%D7%91-%D7%9E%D7%90%D7%95%D7%A9%D7%A8-%D7%90%D7%A4%D7%9C-%D7%A2%D7%9D-%D7%9B%D7%91%D7%9C-%D7%98%D7%99%D7%99%D7%A4-%D7%A1%D7%99-%D7%9C%D7%9C%D7%99%D7%99%D7%98%D7%A0%D7%99%D7%A0%D7%92,ערכת מטען רכב מאושר אפל  עם כבל טייפ-סי ללייטנינג,https://static.wixstatic.com/media/bbb777_49a9fcab199a47898a73c95d34aa9eb2~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9B%D7%91%D7%9C-%D7%9C%D7%99%D7%99%D7%98%D7%A0%D7%99%D7%A0%D7%92-1-25-%D7%9E%D7%98%D7%A8-%D7%9E%D7%90%D7%95%D7%A9%D7%A8-%D7%90%D7%A4%D7%9C,כבל לייטנינג 1.25 מטר מאושר אפל,https://static.wixstatic.com/media/bbb777_d7d8a242bea743e487e63540afe10658~mv2.jpg
https://www.phonedepot.co.il/product-page/pd-20w-%D7%9E%D7%98%D7%A2%D7%9F-%D7%91%D7%99%D7%AA-%D7%9E%D7%94%D7%99%D7%A8-%D7%A2%D7%9D-%D7%9B%D7%91%D7%9C-%D7%90%D7%99%D7%99%D7%A4%D7%95%D7%9F,PD 20W מטען בית מהיר עם כבל אייפון,https://static.wixstatic.com/media/bbb777_49d0d72911344e6a8aeca5f58ab412eb~mv2.jpg
https://www.phonedepot.co.il/product-page/pd-20w-%D7%9E%D7%98%D7%A2%D7%9F-%D7%91%D7%99%D7%AA-%D7%9E%D7%94%D7%99%D7%A8-%D7%A2%D7%9D-%D7%9B%D7%91%D7%9C-%D7%98%D7%99%D7%99%D7%A4-%D7%A1%D7%99-%D7%9C%D7%98%D7%99%D7%99%D7%A4-%D7%A1%D7%99,PD 20W מטען בית מהיר  עם כבל טייפ-סי לטייפ-סי,https://static.wixstatic.com/media/bbb777_8fae3738d3dc425e830f575ab13da911~mv2.jpg
https://www.phonedepot.co.il/product-page/pd-20w-%D7%A8%D7%90%D7%A9-%D7%9E%D7%98%D7%A2%D7%9F-%D7%91%D7%99%D7%AA-%D7%9E%D7%94%D7%99%D7%A8,PD 20W ראש מטען בית מהיר,https://static.wixstatic.com/media/bbb777_862cfa3bf9684d8fb2ca2a9185e34dcf~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9E%D7%98%D7%A2%D7%9F-%D7%91%D7%99%D7%AA-%D7%97%D7%9B%D7%9D-%D7%A9%D7%AA%D7%99-%D7%99%D7%A6%D7%99%D7%90%D7%95%D7%AA-%D7%9B%D7%91%D7%9C,מטען בית חכם - שתי יציאות  + כבל,https://static.wixstatic.com/media/bbb777_f2e9660f167f45b8ac396a1cebb0caaf~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9E%D7%98%D7%A2%D7%9F-%D7%91%D7%99%D7%AA-%D7%97%D7%9B%D7%9D-%D7%A9%D7%AA%D7%99-%D7%99%D7%A6%D7%99%D7%90%D7%95%D7%AA,מטען בית חכם - שתי יציאות,https://static.wixstatic.com/media/bbb777_8e622aa7e51a4c0f88846b3ea9715e58~mv2.jpg
https://www.phonedepot.co.il/product-page/%D7%9E%D7%98%D7%A2%D7%9F-%D7%91%D7%99%D7%AA-%D7%90%D7%95%D7%A0%D7%99%D7%91%D7%A8%D7%A1%D7%9C%D7%99-3-%D7%91-1,מטען בית אוניברסלי - 3 ב 1,https://static.wixstatic.com/media/bbb777_e4e8833f13cf4fe996279818c5186f58~mv2.jpg
