product_url,product_name,prosuct_description,product_SKU,product_price,product_img,technical_data
https://www.ledico.com/product/%d7%a4%d7%98%d7%99%d7%a9%d7%95%d7%9f-%d7%91%d7%95%d7%a9-bosch-gbh-2-20-d/,פטישון בוש BOSCH GBH 220,"<div class=""woocommerce-product-details__short-description"">
	<p>קל וקומפקטי ולכן אידיאלי לקידוח בתקרות קלאצ’ למניעת עומס יתר</p>
</div>",112A6,622.00,https://www.ledico.com/wp-content/uploads/2019/05/112A6-Ledico.png,"{'מהירות': '0-2000 סל\\\\\\""ד', 'וואט': '720W', 'עוצמת הלימה': '2.0J', 'כושר קידוח': '22 מ”מ בבטון', 'משקל': '2.3 ק\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""ג', 'הערות': 'קידוח במקדח כוס עד 68 מ”מ'}"
https://www.ledico.com/product/%d7%a4%d7%98%d7%99%d7%a9%d7%95%d7%9f-%d7%91%d7%95%d7%a9-24-%d7%9e%d7%9e-bosch-gbh-2-24d-2/,פטישון בוש 24 מ”מ BOSCH GBH 2-24DF,"<div class=""woocommerce-product-details__short-description"">
	<p>אורך חיים גבוה במיוחד תוחלת חיים של 75 אלף חורים</p>
</div>", 112AO.49,"1,146.00",https://www.ledico.com/wp-content/uploads/2019/01/112A0.png,"{'וואט': '790W', 'עוצמת הלימה': '2.7J', 'כושר קידוח': '24 מ”מ בבטון', 'משקל': '2.7 ק""ג'}"
https://www.ledico.com/product/%d7%a4%d7%98%d7%99%d7%a9%d7%95%d7%9f-%d7%91%d7%95%d7%a9-24-%d7%9e%d7%9e-bosch-gbh-2-24d/,פטישון בוש 24 מ”מ BOSCH GBH 2-24D,"<div class=""woocommerce-product-details__short-description"">
	<p>אורך חיים גבוה במיוחד תוחלת חיים של 75 אלף חורים</p>
</div>", 112A0.09,919.00,https://www.ledico.com/wp-content/uploads/2019/01/112A0.png,"{'וואט': '790W', 'עוצמת הלימה': '2.7J', 'כושר קידוח': '24 מ”מ בבטון', 'משקל': '2.7 ק""ג'}"
https://www.ledico.com/product/%d7%a4%d7%98%d7%99%d7%a9%d7%95%d7%9f-%d7%91%d7%95%d7%a9-bosch-gbh-2-26-dfr-2/,פטישון בוש BOSCH GBH 2-26 DFR,"<div class=""woocommerce-product-details__short-description"">
	<p>פטישון בעל וויסות מהירות אלקטרוני כולל קלאצ' למניעת עומס יתר על הכלי</p>
<p>סיבוב דו כיווני</p>
</div>", 11254.76,"1,000.00",https://www.ledico.com/wp-content/uploads/2019/05/11254.76-2.jpg,"{'וואט': '880W', 'מהירות': '0-900 סל""ד', 'עוצמת הלימה': '2.7J', 'משקל': '2.7 ק""ג', 'הערות': 'כולל מזוודה'}"
https://www.ledico.com/product/%d7%a4%d7%98%d7%99%d7%a9%d7%95%d7%9f-26-%d7%9e%d7%9e-gbh-2-26-dre/,פטישון בוש 26 מ”מ BOSCH GBH 2-26 DRE,"<div class=""woocommerce-product-details__short-description"">
	<p>פטישון לעבודות חציבה וקידוח</p>
<p>בעל ויסות אלקטרוני סיבוב דו כיווני</p>
</div>",11253.7,807.00,https://www.ledico.com/wp-content/uploads/2019/01/03-11253.png,"{'מהירות': '0-900 סל""ד', 'עוצמת הלימה': '2.7J', 'כושר קידוח': '26 מ”מ', 'משקל': '2.7 ק""ג', 'הערות': 'קידוח במקדח כוס עד 68 מ”מ'}"
https://www.ledico.com/product/%d7%a4%d7%98%d7%99%d7%a9%d7%95%d7%9f-%d7%91%d7%95%d7%a9-bosch-gbh-2-28f/,פטישון בוש BOSCH GBH 2-28F,"<div class=""woocommerce-product-details__short-description"">
	<p>פטישון עם Kick Back Control – עצירת תגובת פתע תפסנית מתחלפת לקידוח במתכת ועץ</p>
</div>",11267.690,"1,143.00",https://www.ledico.com/wp-content/uploads/2019/01/11267.png,"{'מהירות': '0-900 סל""ד', 'וואט': '880W', 'עוצמת הלימה': '3.2J', 'כושר קידוח': '28 מ”מ בבטון', 'משקל': '3.1 ק""ג'}"
https://www.ledico.com/product/%d7%9e%d7%91%d7%a8%d7%92%d7%94-%d7%9e%d7%a7%d7%93%d7%97%d7%94-%d7%a8%d7%95%d7%98%d7%98%d7%aa-%d7%91%d7%95%d7%a9-bosch-gsb-180-li/,מברגה/מקדחה רוטטת בוש BOSCH GSB 180-LI,"<div class=""woocommerce-product-details__short-description"">
	<p>מברגה מגיעה במזוודה עם 2 סוללות של 2 ומטען 18v Ah<br>
בעל תאורת לד וידית ארגונומית לאחיזה נוחה</p>
</div>",19F8.307,776.00,https://www.ledico.com/wp-content/uploads/2018/10/19F8.300-1.png,"{'מומנט': '54Nm', 'מהירות': '0-450/1700 סל""ד', 'תפסנית': '13 מ""מ', 'משקל': '1.64 ק""ג'}"
https://www.ledico.com/product/%d7%9e%d7%a7%d7%93%d7%97%d7%94-%d7%9e%d7%94%d7%99%d7%a8%d7%94-%d7%9c%d7%9e%d7%aa%d7%9b%d7%aa-10-%d7%9e%d7%9e/,מקדחת בוש BOSCH GBM 10 RE,"<div class=""woocommerce-product-details__short-description"">
	<p>מקדחה רוטטת דו כיוונית אלקטרונית</p>
<p>קופקטית ונוחה לשימוש</p>
</div>",1473,456.00,https://www.ledico.com/wp-content/uploads/2019/01/05-1473.png,"{'מהירות': '0-2600 סל""ד', 'משקל': '1.65 ק""ג', 'תפסנית': '10 מ”מ', 'וואט': '600W', 'קוטר קידוח': 'במתכת – 10 מ”מ, באלומיניום – 13 מ”מ, בעץ – 25 מ”מ'}"
https://www.ledico.com/product/%d7%9e%d7%91%d7%a8%d7%92%d7%94-%d7%9e%d7%a7%d7%93%d7%97%d7%94-%d7%a8%d7%95%d7%98%d7%98%d7%aa-%d7%91%d7%95%d7%a9-bosch-gsb-12v-30/,מברגה/מקדחה רוטטת בוש BOSCH GSB 12V-30,"<div class=""woocommerce-product-details__short-description"">
	<p>מברגה/מקדחה 12V- קומפקטית, קלה ונוחה, בעלת מנוע ללא פחמים EC<br>
שתי מהירויות, גיר מכני, מצמד 20+2 דרגות</p>
</div>",19G9.100,799.00,https://www.ledico.com/wp-content/uploads/2021/05/19G9.100-Ledico.png,"{'מהירות': '0-420 / 1600 סל""ד', 'רטיטות לדקה': '24,000 פל""ד', 'מומנט מרבי': '30Nm', 'קוטר קידוח מרבי': 'מתכת 10 מ""מ , עץ 20 מ""מ , אבן 8 מ""מ', 'משקל ללא סוללה': '0.82 ק""ג'}"
https://www.ledico.com/product/%d7%9e%d7%a7%d7%93%d7%97%d7%94-%d7%9e%d7%91%d7%a8%d7%92%d7%94-%d7%91%d7%95%d7%a9-bosch-gsb-18v-li-ec-dynamic-3/,מקדחה/מברגה בוש BOSCH GSB 18V-EC DYNAMIC,"<div class=""woocommerce-product-details__short-description"">
	<p>מברגה רוטטת 18V בעלת עמידות ואורך חיים גבוה מצמד מדויק המונע שחיקה של ראש הבורג</p>
</div>",19E9.104,"2,381.00",https://www.ledico.com/wp-content/uploads/2019/02/19E9.104_.png,"{'סוללה': 'שתי סוללות 5Ah', 'משקל': '1.8 ק""ג', 'מומנט': '60Nm', 'מהירות': '0-600/1900 סל""ד', 'תפסנית': '1.5-13 מ\\""מ ממתכת', 'רטיטות לדקה': '28,500 פל""ד', 'קוטר קידוח': 'בטון, אבן ומתכת - 13 מ""מ\nעץ - 38 מ""מ'}"
